TIME;platform/cframe:CtxFwdNameErrOtherFarm;platform/cframe:CtxFwdTargetAddrErrOtherFarm;platform/cframe:CtxFwdTypeErrOtherFarm;platform/cframe:CtxNoOfReceivedForwardContextsOtherFarm;platform/cframe:CtxNoOfReceivedRemoteContextsOtherFarm;platform/cframe:CtxNoOfSendForwardContextsErrOtherFarm;platform/cframe:CtxNoOfSendForwardContextsOtherFarm;platform/cframe:CtxNoOfSendRemoteContextsErrOtherFarm;platform/cframe:CtxNoOfSendRemoteContextsOtherFarm
2018/05/23-00:00:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:00:44;0;0;0;0;0;0;0;0;0
2018/05/23-00:01:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:01:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:02:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:02:44;0;0;0;0;0;0;0;0;0
2018/05/23-00:03:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:03:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:04:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:04:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:05:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:05:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:06:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:06:44;0;0;0;0;0;0;0;0;0
2018/05/23-00:07:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:07:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:08:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:08:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:09:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:09:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:10:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:10:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:11:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:11:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:12:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:12:44;0;0;0;0;0;0;0;0;0
2018/05/23-00:13:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:13:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:14:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:14:44;0;0;0;0;0;0;0;0;0
2018/05/23-00:15:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:15:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:16:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:16:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:17:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:17:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:18:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:18:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:19:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:19:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:20:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:20:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:21:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:21:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:22:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:22:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:23:14;0;0;0;0;0;0;0;0;0
2018/05/23-00:23:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:24:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:24:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:25:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:25:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:26:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:26:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:27:14;0;0;0;0;0;0;0;0;0
2018/05/23-00:27:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:28:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:28:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:29:14;0;0;0;0;0;0;0;0;0
2018/05/23-00:29:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:30:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:30:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:31:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:31:43;0;0;0;0;0;0;0;0;0
2018/05/23-00:32:13;0;0;0;0;0;0;0;0;0
2018/05/23-00:32:43;0;0;0;0;0;0;0;0;0
