TIME;platform/cframe:CtxFwdNameErr;platform/cframe:CtxFwdTargetAddrErr;platform/cframe:CtxFwdTypeErr;platform/cframe:CtxNoOfPushNormalContexts;platform/cframe:CtxNoOfPushNormalContextsErr;platform/cframe:CtxNoOfPushRemoteContexts;platform/cframe:CtxNoOfPushRemoteContextsErr;platform/cframe:CtxNoOfPushRemoteContextsEstimated;platform/cframe:CtxNoOfReceivedForwardContexts;platform/cframe:CtxNoOfReceivedNormalContexts;platform/cframe:CtxNoOfReceivedRemoteContexts;platform/cframe:CtxNoOfSendForwardContexts;platform/cframe:CtxNoOfSendForwardContextsErr;platform/cframe:CtxNoOfSendNormalContexts;platform/cframe:CtxNoOfSendNormalContextsErr;platform/cframe:CtxNoOfSendRemoteContexts;platform/cframe:CtxNoOfSendRemoteContextsErr
2018/05/23-00:00:13;0;0;0;2890533;0;0;0;0;0;1107998058;0;0;0;1124115676;68346;0;0
2018/05/23-00:00:44;0;0;0;2890533;0;0;0;0;0;1107998065;0;0;0;1124115686;68346;0;0
2018/05/23-00:01:13;0;0;0;2890533;0;0;0;0;0;1107998070;0;0;0;1124115698;68346;0;0
2018/05/23-00:01:43;0;0;0;2890533;0;0;0;0;0;1107998075;0;0;0;1124115708;68346;0;0
2018/05/23-00:02:13;0;0;0;2890533;0;0;0;0;0;1107998080;0;0;0;1124115718;68346;0;0
2018/05/23-00:02:44;0;0;0;2890533;0;0;0;0;0;1107998087;0;0;0;1124115728;68346;0;0
2018/05/23-00:03:13;0;0;0;2890533;0;0;0;0;0;1107998092;0;0;0;1124115740;68346;0;0
2018/05/23-00:03:43;0;0;0;2890533;0;0;0;0;0;1107998097;0;0;0;1124115750;68346;0;0
2018/05/23-00:04:13;0;0;0;2890533;0;0;0;0;0;1107998102;0;0;0;1124115760;68346;0;0
2018/05/23-00:04:43;0;0;0;2890533;0;0;0;0;0;1107998109;0;0;0;1124115770;68346;0;0
2018/05/23-00:05:13;0;0;0;2890533;0;0;0;0;0;1107998114;0;0;0;1124115784;68346;0;0
2018/05/23-00:05:43;0;0;0;2890533;0;0;0;0;0;1107998119;0;0;0;1124115794;68346;0;0
2018/05/23-00:06:13;0;0;0;2890533;0;0;0;0;0;1107998125;0;0;0;1124115805;68346;0;0
2018/05/23-00:06:44;0;0;0;2890533;0;0;0;0;0;1107998133;0;0;0;1124115815;68346;0;0
2018/05/23-00:07:13;0;0;0;2890533;0;0;0;0;0;1107998138;0;0;0;1124115827;68346;0;0
2018/05/23-00:07:43;0;0;0;2890533;0;0;0;0;0;1107998143;0;0;0;1124115837;68346;0;0
2018/05/23-00:08:13;0;0;0;2890533;0;0;0;0;0;1107998148;0;0;0;1124115848;68346;0;0
2018/05/23-00:08:43;0;0;0;2890533;0;0;0;0;0;1107998157;0;0;0;1124115858;68346;0;0
2018/05/23-00:09:13;0;0;0;2890533;0;0;0;0;0;1107998162;0;0;0;1124115869;68346;0;0
2018/05/23-00:09:43;0;0;0;2890533;0;0;0;0;0;1107998167;0;0;0;1124115879;68346;0;0
2018/05/23-00:10:13;0;0;0;2890533;0;0;0;0;0;1107998172;0;0;0;1124115889;68346;0;0
2018/05/23-00:10:43;0;0;0;2890533;0;0;0;0;0;1107998179;0;0;0;1124115899;68346;0;0
2018/05/23-00:11:13;0;0;0;2890533;0;0;0;0;0;1107998184;0;0;0;1124115911;68346;0;0
2018/05/23-00:11:43;0;0;0;2890533;0;0;0;0;0;1107998189;0;0;0;1124115921;68346;0;0
2018/05/23-00:12:13;0;0;0;2890533;0;0;0;0;0;1107998194;0;0;0;1124115931;68346;0;0
2018/05/23-00:12:44;0;0;0;2890533;0;0;0;0;0;1107998201;0;0;0;1124115941;68346;0;0
2018/05/23-00:13:13;0;0;0;2890533;0;0;0;0;0;1107998206;0;0;0;1124115953;68346;0;0
2018/05/23-00:13:43;0;0;0;2890533;0;0;0;0;0;1107998211;0;0;0;1124115963;68346;0;0
2018/05/23-00:14:13;0;0;0;2890533;0;0;0;0;0;1107998216;0;0;0;1124115973;68346;0;0
2018/05/23-00:14:44;0;0;0;2890533;0;0;0;0;0;1107998223;0;0;0;1124115983;68346;0;0
2018/05/23-00:15:13;0;0;0;2890533;0;0;0;0;0;1107998228;0;0;0;1124115995;68346;0;0
2018/05/23-00:15:43;0;0;0;2890533;0;0;0;0;0;1107998233;0;0;0;1124116005;68346;0;0
2018/05/23-00:16:13;0;0;0;2890533;0;0;0;0;0;1107998238;0;0;0;1124116017;68346;0;0
2018/05/23-00:16:43;0;0;0;2890533;0;0;0;0;0;1107998245;0;0;0;1124116027;68346;0;0
2018/05/23-00:17:13;0;0;0;2890533;0;0;0;0;0;1107998251;0;0;0;1124116040;68346;0;0
2018/05/23-00:17:43;0;0;0;2890533;0;0;0;0;0;1107998257;0;0;0;1124116050;68346;0;0
2018/05/23-00:18:13;0;0;0;2890533;0;0;0;0;0;1107998262;0;0;0;1124116060;68346;0;0
2018/05/23-00:18:43;0;0;0;2890533;0;0;0;0;0;1107998269;0;0;0;1124116070;68346;0;0
2018/05/23-00:19:13;0;0;0;2890533;0;0;0;0;0;1107998274;0;0;0;1124116082;68346;0;0
2018/05/23-00:19:43;0;0;0;2890533;0;0;0;0;0;1107998281;0;0;0;1124116092;68346;0;0
2018/05/23-00:20:13;0;0;0;2890533;0;0;0;0;0;1107998286;0;0;0;1124116102;68346;0;0
2018/05/23-00:20:43;0;0;0;2890533;0;0;0;0;0;1107998293;0;0;0;1124116112;68346;0;0
2018/05/23-00:21:13;0;0;0;2890533;0;0;0;0;0;1107998298;0;0;0;1124116124;68346;0;0
2018/05/23-00:21:43;0;0;0;2890533;0;0;0;0;0;1107998303;0;0;0;1124116134;68346;0;0
