2018/05/25-16:22:34.460000	opened log file: "/advdata/log/arm/failedtransactionslog/failedtransactions_blrocsipd101_0_87.log"
TIMESTAMP	SAK	SAK_TYPE	SESSION_ID	EVENT_TYPE	CLIENT_CONNECTION_ID	GNID	REQUEST_PROTOCOL	RESPONSE_PROTOCOL	ORIGINAL_STATUS_CODE	ORIGINAL_SUB_STATUS_CODE	FINAL_STATUS_CODE	GENERIC_STATUS_CODE	GENERIC_SUB_STATUS_CODE	ROUNDTRIP	IPAR_REQUEST_TIME	IPAR_RESPONSE_TIME	SEP_TIME
2018/05/25-16:22:34.791000	KDD7200701020	-1	!@#172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0#@!3591743177443177222	EVENT	172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0	FarmConnection-GNId:1:7-172.168.122.49:23219-->>172.168.122.47:9882	TMAF	TMAF	16000	0	16000	2	0	13	3	0	10
2018/05/25-16:22:36.803000	KDD440507200000989_1	-1	!@#172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0#@!1135709190948546703	EVENT	172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0	FarmConnection-GNId:1:7-172.168.122.49:23219-->>172.168.122.47:9882	TMAF	TMAF	16000	0	16000	2	0	11	1	0	10
2018/05/25-16:22:36.827000	440507200000989	1	!@#172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0#@!5127454871797003464	EVENT	172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0	FarmConnection-GNId:1:4-172.168.122.49:33424-->>172.168.122.44:9882	TMAF	TMAF	16000	0	16000	2	0	10	1	0	9
2018/05/25-16:22:37.058000	440517100081017	1	!@#172.168.126.49:9997<<--172.168.128.52:27946&TV!-TMAF-1.0#@!5313493628154165865	EVENT	172.168.126.49:9997<<--172.168.128.52:27946&TV!-TMAF-1.0	FarmConnection-GNId:1:3-172.168.122.49:24176-->>172.168.122.43:9882	TMAF	TMAF	16000	0	16000	2	0	12	1	0	11
2018/05/25-16:22:38.056000	440517100081018	1	!@#172.168.126.49:9997<<--172.168.128.52:27644&TV!-TMAF-1.0#@!6927697609506907349	EVENT	172.168.126.49:9997<<--172.168.128.52:27644&TV!-TMAF-1.0	FarmConnection-GNId:1:2-172.168.122.49:34523-->>172.168.122.42:9882	TMAF	TMAF	16000	0	16000	2	0	10	1	1	8
2018/05/25-16:22:38.793000	KDD7200701024	-1	!@#172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0#@!4097680878637905096	EVENT	172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0	FarmConnection-GNId:1:4-172.168.122.49:33424-->>172.168.122.44:9882	TMAF	TMAF	16000	0	16000	2	0	13	1	1	11
2018/05/25-16:22:39.059000	440517100081019	1	!@#172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0#@!1871749678446175549	EVENT	172.168.126.49:9997<<--172.168.128.51:31416&TV!-TMAF-1.0	FarmConnection-GNId:1:5-172.168.122.49:22967-->>172.168.122.45:9882	TMAF	TMAF	16000	0	16000	2	0	12	2	0	10
2018/05/25-16:22:39.767000	KDD440507200000992	-1	!@#172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0#@!1363229668047997663	EVENT	172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0	FarmConnection-GNId:1:7-172.168.122.49:23219-->>172.168.122.47:9882	TMAF	TMAF	16000	0	16000	2	0	12	2	0	10
2018/05/25-16:22:39.803000	KDD440507200000992_1	-1	!@#172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0#@!2942468929067439353	EVENT	172.168.126.49:9997<<--172.168.128.52:27628&TV!-TMAF-1.0	FarmConnection-GNId:1:8-172.168.122.49:34089-->>172.168.122.48:9882	TMAF	TMAF	16000	0	16000	2	0	11	2	0	9
2018/05/25-16:22:39.805000	KDD7200701025	-1	!@#172.168.126.49:9997<<--172.168.128.52:27642&TV!-TMAF-1.0#@!5992015205699684198	EVENT	172.168.126.49:9997<<--172.168.128.52:27642&TV!-TMAF-1.0	FarmConnection-GNId:1:3-172.168.122.49:24176-->>172.168.122.43:9882	TMAF	TMAF	16000	0	16000	2	0	34	1	0	33
